Name,Runtime,batch_size,dataset,dropout_prob,epochs,learning_rate,model_type,best_val_accuracy,train_accuracy,train_loss,val_accuracy,val_loss,test_accuracy
conv3d_lr5e-05_dp0.0_bugnist_128,8616,4,bugnist_128,0.0,50,5e-05,conv3d,0.9613983976693372,0.96519975031211,0.1045979572872523,0.9206117989803352,0.2020487409337367,0.957757
conv3d_lr0.0001_dp0.0_bugnist_128,8629,4,bugnist_128,0.0,50,0.0001,conv3d,0.9679533867443554,0.9581772784019976,0.1191029038343552,0.4726875455207575,4.221943672046402,0.959942
conv3d_lr5e-05_dp0.0_bugnist_064,1097,32,bugnist_064,0.0,50,5e-05,conv3d,0.96285506190823,0.9979712858926342,0.0078779617861493,0.919155134741442,0.2946594805285085,0.950473
conv3d_lr0.0001_dp0.0_bugnist_064,1118,32,bugnist_064,0.0,50,0.0001,conv3d,0.945375091041515,0.9985955056179776,0.0065528952856196,0.4617625637290605,2.439643513435702,0.933722
densenet_lr0.0005_dp0.2_bugnist_128,7716,4,bugnist_128,0.2,50,0.0005,densenet,0.9584850691915512,0.9833021223470662,0.0469107235555142,0.9446467589220684,0.2083766274731644,0.954115
conv3d_lr0.0005_dp0.2_bugnist_128,8734,4,bugnist_128,0.2,50,0.0005,conv3d,0.924981791697014,0.8645443196004994,0.3465497067327362,0.9184268026219956,0.2675973759979031,0.913328
conv3d_lr0.0005_dp0.0_bugnist_128,8718,4,bugnist_128,0.0,50,0.0005,conv3d,0.943918426802622,0.9416354556803996,0.1594319963102354,0.8827385287691187,0.3085973747997956,0.94319
densenet_lr0.0005_dp0.0_bugnist_128,7415,4,bugnist_128,0.0,50,0.0005,densenet,0.9613983976693372,0.9915730337078652,0.0283844590114074,0.9089584850691916,0.2841967190564978,0.951202
conv3d_lr0.0005_dp0.2_bugnist_064,1106,32,bugnist_064,0.2,50,0.0005,conv3d,0.9512017479970868,0.9555243445692884,0.1131709042690071,0.945375091041515,0.1207742467739681,0.937363
densenet_lr0.0005_dp0.2_bugnist_064,988,32,bugnist_064,0.2,50,0.0005,densenet,0.9417334304442826,0.988920099875156,0.02826710479686,0.9300801165331392,0.2689632508586291,0.932265
conv3d_lr0.0005_dp0.0_bugnist_064,1102,32,bugnist_064,0.0,50,0.0005,conv3d,0.9606700655498908,0.9956304619225969,0.015084858092473,0.9606700655498908,0.1299295348874296,0.954115
densenet_lr0.0005_dp0.0_bugnist_064,942,32,bugnist_064,0.0,50,0.0005,densenet,0.9446467589220684,0.9900124843945068,0.0286769433804966,0.9140568099053168,0.3941171264787356,0.940277
unet_lr0.0005_dp0.2_bugnist_128,1717,4,bugnist_128,0.2,50,0.0005,unet,0.924981791697014,0.9681647940074908,0.1104716747770542,0.8965768390386016,0.3942573025320459,0.927167
unet_lr0.0005_dp0.0_bugnist_128,1660,4,bugnist_128,0.0,50,0.0005,unet,0.9169701383831028,0.994538077403246,0.0183522477680333,0.8849235251274581,0.7242337751970929,0.914057
unet_lr0.0005_dp0.2_bugnist_064,269,32,bugnist_064,0.2,50,0.0005,unet,0.9235251274581208,0.9765917602996256,0.0644493190014732,0.9089584850691916,0.3627280946726011,0.911872
unet_lr0.0005_dp0.0_bugnist_064,267,32,bugnist_064,0.0,50,0.0005,unet,0.9184268026219956,0.996410736579276,0.0111982573742173,0.9082301529497452,0.4738194931431444,0.915513
resnet_lr0.0005_dp0.0_bugnist_128,6631,4,bugnist_128,0.0,50,0.0005,resnet,0.941005098324836,0.9971910112359552,0.0091187137719237,0.9169701383831028,0.4370410627180253,0.942462
resnet_lr0.0005_dp0.0_bugnist_064,815,32,bugnist_064,0.0,50,0.0005,resnet,0.9490167516387472,0.998283395755306,0.0052812337009354,0.934450109249818,0.349390466538789,0.93445
conv3d_lr0.0005_dp0.2_bugnist_064_final,3713,32,bugnist_064,0.2,250,0.0005,conv3d,0.965768390386016,0.9979712858926342,0.0057091568902505,0.959213401310998,0.1731838273146147,0.949745
conv3d_lr0.0005_dp0.2_bugnist_128_final,29617,4,bugnist_128,0.2,250,0.0005,conv3d,0.968681718863802,0.9634831460674156,0.1032138061595209,0.8521485797523671,0.438206359559571,0.957757
