"Step","resnet_lr0.0005_dp0.0_bugnist_064 - train_accuracy","resnet_lr0.0005_dp0.0_bugnist_064 - train_accuracy__MIN","resnet_lr0.0005_dp0.0_bugnist_064 - train_accuracy__MAX","densenet_lr0.0005_dp0.0_bugnist_064 - train_accuracy","densenet_lr0.0005_dp0.0_bugnist_064 - train_accuracy__MIN","densenet_lr0.0005_dp0.0_bugnist_064 - train_accuracy__MAX","densenet_lr0.0005_dp0.2_bugnist_064 - train_accuracy","densenet_lr0.0005_dp0.2_bugnist_064 - train_accuracy__MIN","densenet_lr0.0005_dp0.2_bugnist_064 - train_accuracy__MAX","conv3d_lr0.0005_dp0.2_bugnist_064 - train_accuracy","conv3d_lr0.0005_dp0.2_bugnist_064 - train_accuracy__MIN","conv3d_lr0.0005_dp0.2_bugnist_064 - train_accuracy__MAX","unet_lr0.0005_dp0.0_bugnist_128 - train_accuracy","unet_lr0.0005_dp0.0_bugnist_128 - train_accuracy__MIN","unet_lr0.0005_dp0.0_bugnist_128 - train_accuracy__MAX","unet_lr0.0005_dp0.2_bugnist_128 - train_accuracy","unet_lr0.0005_dp0.2_bugnist_128 - train_accuracy__MIN","unet_lr0.0005_dp0.2_bugnist_128 - train_accuracy__MAX","resnet_lr0.0005_dp0.0_bugnist_128 - train_accuracy","resnet_lr0.0005_dp0.0_bugnist_128 - train_accuracy__MIN","resnet_lr0.0005_dp0.0_bugnist_128 - train_accuracy__MAX","densenet_lr0.0005_dp0.0_bugnist_128 - train_accuracy","densenet_lr0.0005_dp0.0_bugnist_128 - train_accuracy__MIN","densenet_lr0.0005_dp0.0_bugnist_128 - train_accuracy__MAX","densenet_lr0.0005_dp0.2_bugnist_128 - train_accuracy","densenet_lr0.0005_dp0.2_bugnist_128 - train_accuracy__MIN","densenet_lr0.0005_dp0.2_bugnist_128 - train_accuracy__MAX","conv3d_lr0.0005_dp0.2_bugnist_128 - train_accuracy","conv3d_lr0.0005_dp0.2_bugnist_128 - train_accuracy__MIN","conv3d_lr0.0005_dp0.2_bugnist_128 - train_accuracy__MAX"
"0","0.7404806491885143","0.7404806491885143","0.7404806491885143","0.7888576779026217","0.7888576779026217","0.7888576779026217","0.5847378277153558","0.5847378277153558","0.5847378277153558","0.4712858926342072","0.4712858926342072","0.4712858926342072","0.5021847690387016","0.5021847690387016","0.5021847690387016","0.4684769038701623","0.4684769038701623","0.4684769038701623","0.6131398252184769","0.6131398252184769","0.6131398252184769","0.6872659176029963","0.6872659176029963","0.6872659176029963","0.5724094881398252","0.5724094881398252","0.5724094881398252","0.23845193508114856","0.23845193508114856","0.23845193508114856"
"1","0.8721910112359551","0.8721910112359551","0.8721910112359551","0.8820224719101124","0.8820224719101124","0.8820224719101124","0.8325530586766542","0.8325530586766542","0.8325530586766542","0.6490324594257179","0.6490324594257179","0.6490324594257179","0.7340823970037453","0.7340823970037453","0.7340823970037453","0.7195692883895131","0.7195692883895131","0.7195692883895131","0.8117977528089888","0.8117977528089888","0.8117977528089888","0.8352059925093633","0.8352059925093633","0.8352059925093633","0.7779338327091136","0.7779338327091136","0.7779338327091136","0.28230337078651685","0.28230337078651685","0.28230337078651685"
"2","0.9018414481897628","0.9018414481897628","0.9018414481897628","0.8996566791510612","0.8996566791510612","0.8996566791510612","0.8696941323345818","0.8696941323345818","0.8696941323345818","0.7145755305867666","0.7145755305867666","0.7145755305867666","0.8074282147315855","0.8074282147315855","0.8074282147315855","0.7688826466916354","0.7688826466916354","0.7688826466916354","0.855649188514357","0.855649188514357","0.855649188514357","0.8706304619225967","0.8706304619225967","0.8706304619225967","0.8155430711610487","0.8155430711610487","0.8155430711610487","0.3103932584269663","0.3103932584269663","0.3103932584269663"
"3","0.9076154806491885","0.9076154806491885","0.9076154806491885","0.9238451935081149","0.9238451935081149","0.9238451935081149","0.8793695380774033","0.8793695380774033","0.8793695380774033","0.7588951310861424","0.7588951310861424","0.7588951310861424","0.8289637952559301","0.8289637952559301","0.8289637952559301","0.7972846441947565","0.7972846441947565","0.7972846441947565","0.8742197253433208","0.8742197253433208","0.8742197253433208","0.894350811485643","0.894350811485643","0.894350811485643","0.8520599250936329","0.8520599250936329","0.8520599250936329","0.3615792759051186","0.3615792759051186","0.3615792759051186"
"4","0.9196317103620475","0.9196317103620475","0.9196317103620475","0.9213483146067416","0.9213483146067416","0.9213483146067416","0.898876404494382","0.898876404494382","0.898876404494382","0.7838639200998752","0.7838639200998752","0.7838639200998752","0.8647003745318352","0.8647003745318352","0.8647003745318352","0.8338014981273408","0.8338014981273408","0.8338014981273408","0.8946629213483146","0.8946629213483146","0.8946629213483146","0.896223470661673","0.896223470661673","0.896223470661673","0.8606429463171036","0.8606429463171036","0.8606429463171036","0.4363295880149813","0.4363295880149813","0.4363295880149813"
"5","0.9305555555555556","0.9305555555555556","0.9305555555555556","0.9260299625468165","0.9260299625468165","0.9260299625468165","0.9038701622971286","0.9038701622971286","0.9038701622971286","0.8075842696629213","0.8075842696629213","0.8075842696629213","0.8739076154806492","0.8739076154806492","0.8739076154806492","0.8375468164794008","0.8375468164794008","0.8375468164794008","0.9087078651685393","0.9087078651685393","0.9087078651685393","0.9079275905118602","0.9079275905118602","0.9079275905118602","0.882334581772784","0.882334581772784","0.882334581772784","0.507334581772784","0.507334581772784","0.507334581772784"
"6","0.9377340823970037","0.9377340823970037","0.9377340823970037","0.9353932584269663","0.9353932584269663","0.9353932584269663","0.9107365792759051","0.9107365792759051","0.9107365792759051","0.8283395755305868","0.8283395755305868","0.8283395755305868","0.8829588014981273","0.8829588014981273","0.8829588014981273","0.8634519350811486","0.8634519350811486","0.8634519350811486","0.9140137328339576","0.9140137328339576","0.9140137328339576","0.9186953807740325","0.9186953807740325","0.9186953807740325","0.8960674157303371","0.8960674157303371","0.8960674157303371","0.5778714107365793","0.5778714107365793","0.5778714107365793"
"7","0.9417915106117354","0.9417915106117354","0.9417915106117354","0.9408551810237203","0.9408551810237203","0.9408551810237203","0.9225967540574282","0.9225967540574282","0.9225967540574282","0.83832709113608","0.83832709113608","0.83832709113608","0.889669163545568","0.889669163545568","0.889669163545568","0.8714107365792759","0.8714107365792759","0.8714107365792759","0.9180711610486891","0.9180711610486891","0.9180711610486891","0.9266541822721598","0.9266541822721598","0.9266541822721598","0.8996566791510612","0.8996566791510612","0.8996566791510612","0.5959737827715356","0.5959737827715356","0.5959737827715356"
"8","0.9461610486891385","0.9461610486891385","0.9461610486891385","0.9424157303370787","0.9424157303370787","0.9424157303370787","0.9275905118601748","0.9275905118601748","0.9275905118601748","0.8578339575530587","0.8578339575530587","0.8578339575530587","0.9054307116104869","0.9054307116104869","0.9054307116104869","0.8781210986267166","0.8781210986267166","0.8781210986267166","0.9296192259675405","0.9296192259675405","0.9296192259675405","0.927434456928839","0.927434456928839","0.927434456928839","0.9085518102372035","0.9085518102372035","0.9085518102372035","0.6278089887640449","0.6278089887640449","0.6278089887640449"
"9","0.9450686641697877","0.9450686641697877","0.9450686641697877","0.9408551810237203","0.9408551810237203","0.9408551810237203","0.9277465667915106","0.9277465667915106","0.9277465667915106","0.867665418227216","0.867665418227216","0.867665418227216","0.9113607990012484","0.9113607990012484","0.9113607990012484","0.8796816479400749","0.8796816479400749","0.8796816479400749","0.9318039950062422","0.9318039950062422","0.9318039950062422","0.9296192259675405","0.9296192259675405","0.9296192259675405","0.9105805243445693","0.9105805243445693","0.9105805243445693","0.657147315855181","0.657147315855181","0.657147315855181"
