"Step","unet_lr0.0005_dp0.0_bugnist_064 - train_accuracy","unet_lr0.0005_dp0.0_bugnist_064 - train_accuracy__MIN","unet_lr0.0005_dp0.0_bugnist_064 - train_accuracy__MAX","unet_lr0.0005_dp0.2_bugnist_064 - train_accuracy","unet_lr0.0005_dp0.2_bugnist_064 - train_accuracy__MIN","unet_lr0.0005_dp0.2_bugnist_064 - train_accuracy__MAX","conv3d_lr5e-05_dp0.0_bugnist_064 - train_accuracy","conv3d_lr5e-05_dp0.0_bugnist_064 - train_accuracy__MIN","conv3d_lr5e-05_dp0.0_bugnist_064 - train_accuracy__MAX","conv3d_lr0.0005_dp0.0_bugnist_064 - train_accuracy","conv3d_lr0.0005_dp0.0_bugnist_064 - train_accuracy__MIN","conv3d_lr0.0005_dp0.0_bugnist_064 - train_accuracy__MAX","conv3d_lr0.0001_dp0.0_bugnist_064 - train_accuracy","conv3d_lr0.0001_dp0.0_bugnist_064 - train_accuracy__MIN","conv3d_lr0.0001_dp0.0_bugnist_064 - train_accuracy__MAX","conv3d_lr5e-05_dp0.0_bugnist_128 - train_accuracy","conv3d_lr5e-05_dp0.0_bugnist_128 - train_accuracy__MIN","conv3d_lr5e-05_dp0.0_bugnist_128 - train_accuracy__MAX","conv3d_lr0.0001_dp0.0_bugnist_128 - train_accuracy","conv3d_lr0.0001_dp0.0_bugnist_128 - train_accuracy__MIN","conv3d_lr0.0001_dp0.0_bugnist_128 - train_accuracy__MAX","conv3d_lr0.0005_dp0.0_bugnist_128 - train_accuracy","conv3d_lr0.0005_dp0.0_bugnist_128 - train_accuracy__MIN","conv3d_lr0.0005_dp0.0_bugnist_128 - train_accuracy__MAX"
"0","0.5722534332084894","0.5722534332084894","0.5722534332084894","0.45271535580524347","0.45271535580524347","0.45271535580524347","0.8035268414481898","0.8035268414481898","0.8035268414481898","0.7064606741573034","0.7064606741573034","0.7064606741573034","0.8058676654182272","0.8058676654182272","0.8058676654182272","0.5205992509363296","0.5205992509363296","0.5205992509363296","0.4722222222222222","0.4722222222222222","0.4722222222222222","0.34378901373283394","0.34378901373283394","0.34378901373283394"
"1","0.7955680399500624","0.7955680399500624","0.7955680399500624","0.7311173533083646","0.7311173533083646","0.7311173533083646","0.903558052434457","0.903558052434457","0.903558052434457","0.840980024968789","0.840980024968789","0.840980024968789","0.8960674157303371","0.8960674157303371","0.8960674157303371","0.6743133583021224","0.6743133583021224","0.6743133583021224","0.6569912609238452","0.6569912609238452","0.6569912609238452","0.5622659176029963","0.5622659176029963","0.5622659176029963"
"2","0.8497191011235955","0.8497191011235955","0.8497191011235955","0.8000936329588015","0.8000936329588015","0.8000936329588015","0.9275905118601748","0.9275905118601748","0.9275905118601748","0.8904494382022472","0.8904494382022472","0.8904494382022472","0.9213483146067416","0.9213483146067416","0.9213483146067416","0.7412609238451935","0.7412609238451935","0.7412609238451935","0.723314606741573","0.723314606741573","0.723314606741573","0.6549625468164794","0.6549625468164794","0.6549625468164794"
"3","0.8712546816479401","0.8712546816479401","0.8712546816479401","0.841916354556804","0.841916354556804","0.841916354556804","0.9411672908863921","0.9411672908863921","0.9411672908863921","0.8999687890137328","0.8999687890137328","0.8999687890137328","0.9367977528089888","0.9367977528089888","0.9367977528089888","0.779338327091136","0.779338327091136","0.779338327091136","0.7724719101123596","0.7724719101123596","0.7724719101123596","0.7119225967540574","0.7119225967540574","0.7119225967540574"
"4","0.8857677902621723","0.8857677902621723","0.8857677902621723","0.8548689138576779","0.8548689138576779","0.8548689138576779","0.9500624219725343","0.9500624219725343","0.9500624219725343","0.9137016229712859","0.9137016229712859","0.9137016229712859","0.9386704119850188","0.9386704119850188","0.9386704119850188","0.8082084893882646","0.8082084893882646","0.8082084893882646","0.802434456928839","0.802434456928839","0.802434456928839","0.7318976279650437","0.7318976279650437","0.7318976279650437"
"5","0.9076154806491885","0.9076154806491885","0.9076154806491885","0.8715667915106118","0.8715667915106118","0.8715667915106118","0.9592696629213483","0.9592696629213483","0.9592696629213483","0.920880149812734","0.920880149812734","0.920880149812734","0.9516229712858927","0.9516229712858927","0.9516229712858927","0.8202247191011236","0.8202247191011236","0.8202247191011236","0.8228776529338327","0.8228776529338327","0.8228776529338327","0.7567103620474407","0.7567103620474407","0.7567103620474407"
"6","0.9094881398252185","0.9094881398252185","0.9094881398252185","0.8873283395755306","0.8873283395755306","0.8873283395755306","0.9627028714107366","0.9627028714107366","0.9627028714107366","0.9302434456928839","0.9302434456928839","0.9302434456928839","0.9566167290886392","0.9566167290886392","0.9566167290886392","0.8500312109862672","0.8500312109862672","0.8500312109862672","0.845661672908864","0.845661672908864","0.845661672908864","0.7780898876404494","0.7780898876404494","0.7780898876404494"
"7","0.9269662921348315","0.9269662921348315","0.9269662921348315","0.8873283395755306","0.8873283395755306","0.8873283395755306","0.9739388264669163","0.9739388264669163","0.9739388264669163","0.9399188514357054","0.9399188514357054","0.9399188514357054","0.9616104868913857","0.9616104868913857","0.9616104868913857","0.8592384519350812","0.8592384519350812","0.8592384519350812","0.856585518102372","0.856585518102372","0.856585518102372","0.7980649188514357","0.7980649188514357","0.7980649188514357"
"8","0.9130774032459426","0.9130774032459426","0.9130774032459426","0.9018414481897628","0.9018414481897628","0.9018414481897628","0.9720661672908864","0.9720661672908864","0.9720661672908864","0.9417915106117354","0.9417915106117354","0.9417915106117354","0.96145443196005","0.96145443196005","0.96145443196005","0.8739076154806492","0.8739076154806492","0.8739076154806492","0.8732833957553059","0.8732833957553059","0.8732833957553059","0.8063358302122348","0.8063358302122348","0.8063358302122348"
"9","0.9452247191011236","0.9452247191011236","0.9452247191011236","0.9091760299625468","0.9091760299625468","0.9091760299625468","0.9831460674157303","0.9831460674157303","0.9831460674157303","0.9450686641697877","0.9450686641697877","0.9450686641697877","0.9715980024968789","0.9715980024968789","0.9715980024968789","0.8840511860174781","0.8840511860174781","0.8840511860174781","0.8810861423220974","0.8810861423220974","0.8810861423220974","0.8191323345817728","0.8191323345817728","0.8191323345817728"
